# dataset: GeoCSV 2.0,
# delimiter: ,
# SID: II_PFO_00_BH1,
# sample_count: 2400,
# sample_rate_hz: 20,
# start_time: 2018-09-22T08:19:19.019538Z,
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-09-22T08:19:33.319538Z,537
2018-09-22T08:19:33.369538Z,516
2018-09-22T08:19:33.419538Z,497
2018-09-22T08:19:33.469538Z,502
2018-09-22T08:19:33.519538Z,504
2018-09-22T08:19:33.569538Z,467
2018-09-22T08:19:33.619538Z,424
2018-09-22T08:19:33.669538Z,421
2018-09-22T08:19:33.719538Z,448
2018-09-22T08:19:33.769538Z,437
2018-09-22T08:19:33.819538Z,402
2018-09-22T08:19:33.869538Z,395
2018-09-22T08:19:33.919538Z,407
2018-09-22T08:19:33.969538Z,402
2018-09-22T08:19:34.019538Z,445
2018-09-22T08:19:34.069538Z,422
2018-09-22T08:19:34.119538Z,378
2018-09-22T08:19:34.169538Z,416
2018-09-22T08:19:34.219538Z,427
2018-09-22T08:19:34.269538Z,462
2018-09-22T08:19:34.319538Z,473
2018-09-22T08:19:34.369538Z,472
2018-09-22T08:19:34.419538Z,466
2018-09-22T08:19:34.469538Z,484
2018-09-22T08:19:34.519538Z,537
2018-09-22T08:19:34.569538Z,498
2018-09-22T08:19:34.619538Z,464
2018-09-22T08:19:34.669538Z,483
2018-09-22T08:19:34.719538Z,505
2018-09-22T08:19:34.769538Z,505
2018-09-22T08:19:34.819538Z,496
2018-09-22T08:19:34.869538Z,512
2018-09-22T08:19:34.919538Z,540
2018-09-22T08:19:34.969538Z,555
2018-09-22T08:19:35.019538Z,542
2018-09-22T08:19:35.069538Z,548
2018-09-22T08:19:35.119538Z,568
2018-09-22T08:19:35.169538Z,585
2018-09-22T08:19:35.219538Z,579
2018-09-22T08:19:35.269538Z,563
2018-09-22T08:19:35.319538Z,563
2018-09-22T08:19:35.369538Z,553
2018-09-22T08:19:35.419538Z,535
2018-09-22T08:19:35.469538Z,522
2018-09-22T08:19:35.519538Z,562
2018-09-22T08:19:35.569538Z,576
2018-09-22T08:19:35.619538Z,571
2018-09-22T08:19:35.669538Z,589
2018-09-22T08:19:35.719538Z,591
2018-09-22T08:19:35.769538Z,585
2018-09-22T08:19:35.819538Z,605
2018-09-22T08:19:35.869538Z,612
2018-09-22T08:19:35.919538Z,570
2018-09-22T08:19:35.969538Z,605
2018-09-22T08:19:36.019538Z,604
2018-09-22T08:19:36.069538Z,579
2018-09-22T08:19:36.119538Z,591
2018-09-22T08:19:36.169538Z,564
2018-09-22T08:19:36.219538Z,575
2018-09-22T08:19:36.269538Z,584
2018-09-22T08:19:36.319538Z,572
2018-09-22T08:19:36.369538Z,541
2018-09-22T08:19:36.419538Z,531
2018-09-22T08:19:36.469538Z,503
2018-09-22T08:19:36.519538Z,445
2018-09-22T08:19:36.569538Z,449
2018-09-22T08:19:36.619538Z,419
2018-09-22T08:19:36.669538Z,376
2018-09-22T08:19:36.719538Z,382
2018-09-22T08:19:36.769538Z,336
2018-09-22T08:19:36.819538Z,301
2018-09-22T08:19:36.869538Z,319
2018-09-22T08:19:36.919538Z,282
2018-09-22T08:19:36.969538Z,251
2018-09-22T08:19:37.019538Z,234
2018-09-22T08:19:37.069538Z,214
2018-09-22T08:19:37.119538Z,205
2018-09-22T08:19:37.169538Z,154
2018-09-22T08:19:37.219538Z,95
2018-09-22T08:19:37.269538Z,86
2018-09-22T08:19:37.319538Z,79
2018-09-22T08:19:37.369538Z,46
2018-09-22T08:19:37.419538Z,21
2018-09-22T08:19:37.469538Z,0
2018-09-22T08:19:37.519538Z,-34
2018-09-22T08:19:37.569538Z,-74
2018-09-22T08:19:37.619538Z,-93
2018-09-22T08:19:37.669538Z,-144
2018-09-22T08:19:37.719538Z,-155
2018-09-22T08:19:37.769538Z,-146
2018-09-22T08:19:37.819538Z,-193
2018-09-22T08:19:37.869538Z,-204
2018-09-22T08:19:37.919538Z,-239
2018-09-22T08:19:37.969538Z,-261
2018-09-22T08:19:38.019538Z,-243
2018-09-22T08:19:38.069538Z,-220
2018-09-22T08:19:38.119538Z,-214
2018-09-22T08:19:38.169538Z,-270
2018-09-22T08:19:38.219538Z,-278
2018-09-22T08:19:38.269538Z,-245
2018-09-22T08:19:38.319538Z,-241
2018-09-22T08:19:38.369538Z,-243
2018-09-22T08:19:38.419538Z,-247
2018-09-22T08:19:38.469538Z,-261
2018-09-22T08:19:38.519538Z,-243
2018-09-22T08:19:38.569538Z,-210
2018-09-22T08:19:38.619538Z,-198
2018-09-22T08:19:38.669538Z,-183
2018-09-22T08:19:38.719538Z,-151
2018-09-22T08:19:38.769538Z,-114
2018-09-22T08:19:38.819538Z,-72
2018-09-22T08:19:38.869538Z,-22
2018-09-22T08:19:38.919538Z,29
2018-09-22T08:19:38.969538Z,59
2018-09-22T08:19:39.019538Z,81
2018-09-22T08:19:39.069538Z,130
2018-09-22T08:19:39.119538Z,160
2018-09-22T08:19:39.169538Z,206
2018-09-22T08:19:39.219538Z,240
2018-09-22T08:19:39.269538Z,264
2018-09-22T08:19:39.319538Z,334
2018-09-22T08:19:39.369538Z,357
2018-09-22T08:19:39.419538Z,393
2018-09-22T08:19:39.469538Z,439
2018-09-22T08:19:39.519538Z,470
2018-09-22T08:19:39.569538Z,532
2018-09-22T08:19:39.619538Z,567
2018-09-22T08:19:39.669538Z,640
2018-09-22T08:19:39.719538Z,667
2018-09-22T08:19:39.769538Z,684
2018-09-22T08:19:39.819538Z,760
2018-09-22T08:19:39.869538Z,771
2018-09-22T08:19:39.919538Z,823
2018-09-22T08:19:39.969538Z,876
2018-09-22T08:19:40.019538Z,903
2018-09-22T08:19:40.069538Z,939
2018-09-22T08:19:40.119538Z,946
2018-09-22T08:19:40.169538Z,974
2018-09-22T08:19:40.219538Z,1014
2018-09-22T08:19:40.269538Z,1044
2018-09-22T08:19:40.319538Z,1086
2018-09-22T08:19:40.369538Z,1127
2018-09-22T08:19:40.419538Z,1125
2018-09-22T08:19:40.469538Z,1128
2018-09-22T08:19:40.519538Z,1122
2018-09-22T08:19:40.569538Z,1103
2018-09-22T08:19:40.619538Z,1113
2018-09-22T08:19:40.669538Z,1104
2018-09-22T08:19:40.719538Z,1067
2018-09-22T08:19:40.769538Z,1039
2018-09-22T08:19:40.819538Z,1031
2018-09-22T08:19:40.869538Z,1008
2018-09-22T08:19:40.919538Z,937
2018-09-22T08:19:40.969538Z,880
2018-09-22T08:19:41.019538Z,860
2018-09-22T08:19:41.069538Z,811
2018-09-22T08:19:41.119538Z,774
2018-09-22T08:19:41.169538Z,715
2018-09-22T08:19:41.219538Z,620
2018-09-22T08:19:41.269538Z,582
2018-09-22T08:19:41.319538Z,537
2018-09-22T08:19:41.369538Z,485
2018-09-22T08:19:41.419538Z,451
2018-09-22T08:19:41.469538Z,426
2018-09-22T08:19:41.519538Z,366
2018-09-22T08:19:41.569538Z,285
2018-09-22T08:19:41.619538Z,268
2018-09-22T08:19:41.669538Z,215
2018-09-22T08:19:41.719538Z,187
2018-09-22T08:19:41.769538Z,173
2018-09-22T08:19:41.819538Z,125
2018-09-22T08:19:41.869538Z,93
2018-09-22T08:19:41.919538Z,36
2018-09-22T08:19:41.969538Z,27
2018-09-22T08:19:42.019538Z,0
2018-09-22T08:19:42.069538Z,-54
2018-09-22T08:19:42.119538Z,-40
2018-09-22T08:19:42.169538Z,-16
2018-09-22T08:19:42.219538Z,-28
2018-09-22T08:19:42.269538Z,-58
2018-09-22T08:19:42.319538Z,-75
2018-09-22T08:19:42.369538Z,-88
2018-09-22T08:19:42.419538Z,-76
2018-09-22T08:19:42.469538Z,-57
2018-09-22T08:19:42.519538Z,-116
2018-09-22T08:19:42.569538Z,-140
2018-09-22T08:19:42.619538Z,-104
2018-09-22T08:19:42.669538Z,-98
2018-09-22T08:19:42.719538Z,-100
2018-09-22T08:19:42.769538Z,-149
2018-09-22T08:19:42.819538Z,-155
2018-09-22T08:19:42.869538Z,-115
2018-09-22T08:19:42.919538Z,-83
2018-09-22T08:19:42.969538Z,-69
2018-09-22T08:19:43.019538Z,-97
2018-09-22T08:19:43.069538Z,-113
2018-09-22T08:19:43.119538Z,-129
2018-09-22T08:19:43.169538Z,-80
2018-09-22T08:19:43.219538Z,-39
2018-09-22T08:19:43.269538Z,-39
2018-09-22T08:19:43.319538Z,-35
2018-09-22T08:19:43.369538Z,-52
2018-09-22T08:19:43.419538Z,-38
2018-09-22T08:19:43.469538Z,-54
2018-09-22T08:19:43.519538Z,-48
2018-09-22T08:19:43.569538Z,-45
2018-09-22T08:19:43.619538Z,-68
2018-09-22T08:19:43.669538Z,-23
2018-09-22T08:19:43.719538Z,25
2018-09-22T08:19:43.769538Z,32
2018-09-22T08:19:43.819538Z,-7
2018-09-22T08:19:43.869538Z,0
2018-09-22T08:19:43.919538Z,72
2018-09-22T08:19:43.969538Z,136
2018-09-22T08:19:44.019538Z,111
2018-09-22T08:19:44.069538Z,97
2018-09-22T08:19:44.119538Z,120
2018-09-22T08:19:44.169538Z,130
2018-09-22T08:19:44.219538Z,210
2018-09-22T08:19:44.269538Z,173
2018-09-22T08:19:44.319538Z,143
2018-09-22T08:19:44.369538Z,191
2018-09-22T08:19:44.419538Z,202
2018-09-22T08:19:44.469538Z,229
2018-09-22T08:19:44.519538Z,234
2018-09-22T08:19:44.569538Z,254
2018-09-22T08:19:44.619538Z,260
2018-09-22T08:19:44.669538Z,311
2018-09-22T08:19:44.719538Z,356
2018-09-22T08:19:44.769538Z,364
2018-09-22T08:19:44.819538Z,357
2018-09-22T08:19:44.869538Z,358
2018-09-22T08:19:44.919538Z,405
2018-09-22T08:19:44.969538Z,408
2018-09-22T08:19:45.019538Z,461
2018-09-22T08:19:45.069538Z,459
2018-09-22T08:19:45.119538Z,479
2018-09-22T08:19:45.169538Z,545
2018-09-22T08:19:45.219538Z,545
2018-09-22T08:19:45.269538Z,589
2018-09-22T08:19:45.319538Z,573
2018-09-22T08:19:45.369538Z,598
2018-09-22T08:19:45.419538Z,665
2018-09-22T08:19:45.469538Z,672
2018-09-22T08:19:45.519538Z,652
2018-09-22T08:19:45.569538Z,656
2018-09-22T08:19:45.619538Z,685
2018-09-22T08:19:45.669538Z,724
2018-09-22T08:19:45.719538Z,754
2018-09-22T08:19:45.769538Z,743
2018-09-22T08:19:45.819538Z,744
2018-09-22T08:19:45.869538Z,747
2018-09-22T08:19:45.919538Z,791
2018-09-22T08:19:45.969538Z,786
2018-09-22T08:19:46.019538Z,775
2018-09-22T08:19:46.069538Z,785
2018-09-22T08:19:46.119538Z,741
2018-09-22T08:19:46.169538Z,773
2018-09-22T08:19:46.219538Z,772
2018-09-22T08:19:46.269538Z,733
2018-09-22T08:19:46.319538Z,748
2018-09-22T08:19:46.369538Z,750
2018-09-22T08:19:46.419538Z,747
2018-09-22T08:19:46.469538Z,737
2018-09-22T08:19:46.519538Z,715
2018-09-22T08:19:46.569538Z,698
2018-09-22T08:19:46.619538Z,703
2018-09-22T08:19:46.669538Z,706
2018-09-22T08:19:46.719538Z,698
2018-09-22T08:19:46.769538Z,707
2018-09-22T08:19:46.819538Z,703
2018-09-22T08:19:46.869538Z,702
2018-09-22T08:19:46.919538Z,720
2018-09-22T08:19:46.969538Z,740
2018-09-22T08:19:47.019538Z,735
2018-09-22T08:19:47.069538Z,720
2018-09-22T08:19:47.119538Z,721
2018-09-22T08:19:47.169538Z,697
2018-09-22T08:19:47.219538Z,691
2018-09-22T08:19:47.269538Z,687
2018-09-22T08:19:47.319538Z,671
2018-09-22T08:19:47.369538Z,654
2018-09-22T08:19:47.419538Z,655
2018-09-22T08:19:47.469538Z,659
2018-09-22T08:19:47.519538Z,623
2018-09-22T08:19:47.569538Z,625
2018-09-22T08:19:47.619538Z,589
2018-09-22T08:19:47.669538Z,585
2018-09-22T08:19:47.719538Z,597
2018-09-22T08:19:47.769538Z,552
2018-09-22T08:19:47.819538Z,526
2018-09-22T08:19:47.869538Z,509
2018-09-22T08:19:47.919538Z,511
2018-09-22T08:19:47.969538Z,442
2018-09-22T08:19:48.019538Z,416
2018-09-22T08:19:48.069538Z,403
2018-09-22T08:19:48.119538Z,360
2018-09-22T08:19:48.169538Z,404
2018-09-22T08:19:48.219538Z,357
2018-09-22T08:19:48.269538Z,298
2018-09-22T08:19:48.319538Z,316
2018-09-22T08:19:48.369538Z,287
2018-09-22T08:19:48.419538Z,288
2018-09-22T08:19:48.469538Z,288
2018-09-22T08:19:48.519538Z,250
2018-09-22T08:19:48.569538Z,188
2018-09-22T08:19:48.619538Z,162
2018-09-22T08:19:48.669538Z,165
2018-09-22T08:19:48.719538Z,131
2018-09-22T08:19:48.769538Z,129
2018-09-22T08:19:48.819538Z,78
2018-09-22T08:19:48.869538Z,56
2018-09-22T08:19:48.919538Z,83
2018-09-22T08:19:48.969538Z,62
2018-09-22T08:19:49.019538Z,48
2018-09-22T08:19:49.069538Z,20
2018-09-22T08:19:49.119538Z,-4
2018-09-22T08:19:49.169538Z,-9
